active_guide_count,angular_uniformity_error,assignment_status,assignment_switch_count,assignment_valid,boundary_confidence_status,boundary_v2_method,boundary_v2_status,boundary_valid,config,coverage_ratio,deployment_valid,environment,episode_control_steps,episode_converged,episode_final_tracking_rmse,episode_status,evaluation_boundary_source,evaluation_status,execution_success,failure_reason,guide_crowd_safety_violation_count,heterogeneity,initial_endpoint_coverage_ratio,initial_endpoint_max_euclidean_boundary_distance,max_boundary_gap,max_euclidean_boundary_distance,method_status,metrics_position_source,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,minimum_inter_guider_distance,periodic_max_arc_gap,periodic_plan_status,plan_valid,radial_deployment_error,reserve_guide_count,resource_status,resource_unmet_target_count,resource_valid,safety_filter_status,safety_infeasible_steps,safety_max_residual_after,safety_projected_steps,sampled_safety_valid,scientific_success,seed,shape,truth_component_count
10,0.19456158171834392,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_concave.yaml,0.8958333333333334,True,rectangle,35,True,0.005888322741974387,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8805555555555555,2.1104138722498536,2.009923028271291,2.009923028271291,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000040465465,1.0472460325329342,4.6880364971942345,1.0472460325329342,2.4169463014259804,VALID,True,0.4874381744776657,2,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,35,True,True,1,concave,1
10,0.18771156637566952,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_concave.yaml,0.8833333333333333,True,rectangle,39,True,0.007851341747721625,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8194444444444444,2.8182322147022494,2.407698287274685,2.407698287274685,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000056498661,1.0666915972052682,4.144716295720842,1.0666915972052682,2.423119327221144,VALID,True,0.5198302052020415,2,VALID,0,True,ENABLED_PR5,0,1.3877787807814457e-16,39,True,True,0,concave,1
11,0.1090795251610556,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_concave.yaml,0.9083333333333333,True,rectangle,36,True,0.01022667091416382,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8472222222222222,2.6311680336284295,1.7636911162416145,1.7636911162416145,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000013552843,1.0257968288006978,4.378827548452277,1.0257968288006978,2.2792420946784766,VALID,True,0.6191998529029722,1,VALID,0,True,ENABLED_PR5,0,2.7755575615628914e-17,36,True,True,4,concave,1
10,0.2576272843989433,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_irregular.yaml,0.9291666666666667,True,square,400,False,0.15176062183878444,TIMEOUT,analytic_truth_safety_offset,valid,True,TIMEOUT,0,True,0.9805555555555555,1.431071944664488,1.602776259288129,1.602776259288129,diagnostic_only,episode_final_frame,0.8500000009999988,1.1160337283840343,5.5580069032297885,1.1160337283840345,2.4774325627824183,VALID,True,0.6140161407327088,2,VALID,0,True,ENABLED_PR5,0,1.3118846287074604e-16,400,True,False,3,irregular,1
11,0.23282203136693302,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_concave.yaml,0.9555555555555556,True,rectangle,46,True,0.005017513214517388,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8458333333333333,2.61171534798409,1.414030821292837,1.414030821292837,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000010097843,1.0215691571958012,4.358997979461023,1.0215691571958012,2.397009905244218,VALID,True,0.6051207836549195,1,VALID,0,True,ENABLED_PR5,0,8.326672684688674e-17,46,True,True,3,concave,1
11,0.15847555655722811,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_irregular.yaml,0.9902777777777778,True,rectangle,36,True,0.0023097354425910565,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9805555555555555,1.3700339772263552,1.3163880207061003,1.3163880207061003,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000024611613,1.079102154762993,3.9393901575472925,1.079102154762993,2.319771334864612,VALID,True,0.4006872243389112,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,36,True,True,1,irregular,1
11,0.163937402546759,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_irregular.yaml,0.9916666666666667,True,rectangle,37,True,0.00259176312121505,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9513888888888888,1.5405275282411002,1.2904456632610442,1.2904456632610442,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000034067758,1.1380219979748285,3.78904637909539,1.1380219979748285,2.334160384788337,VALID,True,0.5682650557572276,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,37,True,True,0,irregular,1
11,0.19714398293171478,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_irregular.yaml,0.9916666666666667,True,rectangle,36,True,0.005540719466338365,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9194444444444444,1.5175025035214695,1.2821322505197807,1.2821322505197807,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000015221767,1.1884815524563839,3.615825378765863,1.1884815524563839,2.348067265882932,VALID,True,0.6520489060098572,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,36,True,True,2,irregular,1
11,0.17541721143420672,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_irregular.yaml,0.9916666666666667,True,rectangle,37,True,0.003937424904728042,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9805555555555555,1.3392885055887953,1.2955050735154654,1.2955050735154654,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000032330959,1.0951176017580526,3.667509635569338,1.0951176017580526,2.3989617262624563,VALID,True,0.5857581302719362,1,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,37,True,True,4,irregular,1
10,0.2576272843989427,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_irregular.yaml,0.9291666666666667,True,rectangle,400,False,0.1517606218387846,TIMEOUT,analytic_truth_safety_offset,valid,True,TIMEOUT,0,True,0.9805555555555555,1.4310719446644624,1.6027762592881376,1.6027762592881376,diagnostic_only,episode_final_frame,0.8500000009999983,1.116033728384069,3.5580069032297885,1.116033728384069,2.4774325627824183,VALID,True,0.61401614073271,2,VALID,0,True,ENABLED_PR5,0,1.942890293094024e-16,400,True,False,3,irregular,1
