shape,seed,variant,min_observation_coverage,valid,boundary_status,boundary_reason,boundary_method,curve_chamfer,curve_hausdorff,length_relative_error,confidence_mean,confidence_min,uncertainty_mean,plan_status,plan_h_initial,plan_h_final,plan_iterations,plan_max_arc_gap
c_shape,18,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.11002049810742032,0.4886914088010744,0.0176068648226805,0.38618939689518733,0.15,0.22910737223846744,VALID,5.119377649825916,5.053569538349103,238,1.7166128612323917
c_shape,18,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.11002049810742032,0.4886914088010744,0.0176068648226805,0.38618939689518733,0.15,0.22910737223846744,VALID,5.119377649825916,5.053568740492629,88,1.716418762781224
c_shape,18,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.11002049810742032,0.4886914088010744,0.0176068648226805,1.0,1.0,0.0,VALID,5.119377649825916,5.053568740492629,88,1.716418762781224
c_shape,18,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3507575334523406,1.2372099671217682,0.31125378971619794,1.0,1.0,0.0,VALID,2.554291632404138,2.507739197304934,65,1.4439720693575016
c_shape,19,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13339296171008408,0.4416851079339685,0.05467605961848028,0.38300134041281403,0.15,0.15713907761459486,VALID,4.5614527514697665,4.502816428056416,218,1.6518961918349042
c_shape,19,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13339296171008408,0.4416851079339685,0.05467605961848028,0.38300134041281403,0.15,0.15713907761459486,VALID,4.5614527514697665,4.502815891467894,88,1.6516521645728375
c_shape,19,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13339296171008408,0.4416851079339685,0.05467605961848028,1.0,1.0,0.0,VALID,4.5614527514697665,4.502815891467894,88,1.6516521645728375
c_shape,19,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3732656292347734,1.0354352462738619,0.32564879151768655,1.0,1.0,0.0,VALID,2.39745925127802,2.353765115188689,65,1.4137926212105043
c_shape,20,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.14750884373067838,0.7182689246242403,0.002349752374424512,0.40870771676799594,0.15,0.14510678367164484,VALID,5.361621537778336,5.2926993595985286,240,1.7433500423899488
c_shape,20,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.14750884373067838,0.7182689246242403,0.002349752374424512,0.40870771676799594,0.15,0.14510678367164484,VALID,5.361621537778336,5.292698615932347,88,1.7430757019782988
