active_guide_count,assignment_path_sum,boundary_valid,config,coverage_ratio,crowd_distance_pinned,crowd_span,deployment_length,environment,episode_control_steps,episode_final_tracking_rmse,episode_status,extra_steps_if_linear,failure_reason,final_assignment_max,final_assignment_mean,has_episode_trace,initial_assignment_max,initial_assignment_mean,initial_tracking_rmse,last50_mean_speed,last50_projected_frac,last50_velocity_sat_frac,max_target_displacement,mean_applied_speed,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,nominal_sat_frac,periodic_max_arc_gap,rmse_drop,rmse_final,rmse_initial,rmse_last50_drop,rmse_last50_rel,rmse_min,safety_infeasible_steps,safety_projected_frac,safety_projected_steps,scientific_success,seed,shape,stop_reason,time_to_10pct,time_to_50pct,timeout_class,tracking_error_nonincreasing,velocity_sat_frac
10.0,57.77699317584487,True,square_concave.yaml,0.8569444444444444,True,3.620394533021039,24.0631458369114,square,400.0,1.0188335258296786,TIMEOUT,inf,TIMEOUT,3.22183306932924,0.32268699566131664,True,7.944294235424543,5.777699317584487,5.941465975674877,6.567240891735898e-15,1.0,0.0,0.0,0.11513349526953522,0.850000000999999,1.3767146532199541,0.3704334813888568,0.17875,2.4063145836911417,4.9226324498451985,1.0188335258296786,5.941465975674877,0.0,0.0,1.0188335258296786,0.0,0.9475,379.0,False,109,concave,maximum_steps_reached,,33,structural_safety_pin,True,0.09979166666666667
11.0,46.609236427641264,True,square_concave.yaml,0.9791666666666666,True,3.7486455625723183,26.376247491367927,square,87.0,0.001602995363917827,CONVERGED,0.0,none,0.0039113545308567645,0.0010584769434563114,True,6.203032176358528,4.237203311603751,4.474689762040134,0.18253368294787808,0.98,0.115,0.0,0.4463545860380632,0.8500000010003853,1.3971419576359938,0.8647865623307602,0.38026819923371646,2.3978406810334505,4.473086766676216,0.001602995363917827,4.474689762040134,1.351658514005146,0.9988154578011569,0.001602995363917827,0.0,0.5632183908045977,49.0,True,117,concave,hold_window_satisfied,52,26,not_timeout,True,0.38026819923371646
10.0,47.22707835956106,True,square_concave.yaml,0.9055555555555556,True,3.611630227579341,24.046059376394656,square,112.0,0.006874064825662032,CONVERGED,0.0,none,0.014317601817703817,0.0040419673555376805,True,8.36014601509669,4.722707835956106,4.999620184896798,0.07699076121002688,1.0,0.03,0.0,0.3570940615721446,0.8500000010000167,1.6084614697517057,1.060123025279296,0.3273809523809524,2.4046059376394666,4.992746120071136,0.006874064825662032,4.999620184896798,0.9411062038972854,0.9927487258411799,0.006874064825662032,0.0,0.7053571428571429,79.0,True,119,concave,hold_window_satisfied,74,29,not_timeout,True,0.29389880952380953
10.0,37.713839630331414,True,square_concave.yaml,0.8986111111111111,True,3.5339064546912313,24.21906237273238,square,90.0,0.005963047019714874,CONVERGED,0.0,none,0.015553523304198813,0.0029413405145728164,True,6.2657620246915435,3.7713839630331414,4.067228253513303,0.09211692064705747,1.0,0.028333333333333332,0.0,0.35056840968741126,0.850000001000031,1.3247858217954438,0.5011694025817128,0.2962962962962963,2.421906237273241,4.061265206493588,0.005963047019714874,4.067228253513303,0.9682206159602089,0.9938789293576588,0.005963047019714874,0.0,0.8,72.0,True,118,concave,hold_window_satisfied,54,24,not_timeout,True,0.275
11.0,46.927922841464216,True,square_irregular.yaml,0.9875,True,3.8425630661434513,26.152930186436663,square,100.0,0.003431344064763635,CONVERGED,0.0,none,0.008182040348118253,0.0021120103248317558,True,7.410843415838036,4.266174803769474,4.755236245820832,0.09966730149742639,1.0,0.04666666666666667,0.0,0.3922721855297227,0.850000001,1.4966502658522989,0.3804322822451027,0.3383333333333333,2.3775391078578814,4.751804901756069,0.003431344064763635,4.755236245820832,0.9038554307923818,0.996218016001276,0.003431344064763635,0.0,0.64,64.0,True,101,irregular,hold_window_satisfied,60,29,not_timeout,True,0.33
10.0,52.803101837848786,True,square_concave.yaml,0.8819444444444444,True,3.607010134431448,23.73890861299012,square,400.0,0.12404884462054738,TIMEOUT,inf,TIMEOUT,0.26881650837374904,0.07817295977922786,True,7.592035936070516,5.280310183784879,5.495232854403488,7.374080441643708e-15,1.0,0.0,0.0,0.10918407473129302,0.8500000009999988,0.6184216582035251,0.9490084131153012,0.0975,2.3738908612990137,5.371184009782941,0.12404884462054738,5.495232854403488,0.0,0.0,0.12404884462054695,0.0,0.94,376.0,False,112,concave,maximum_steps_reached,63,30,near_miss_safety_pin,True,0.09583333333333334
10.0,54.91174919830799,True,square_concave.yaml,0.7916666666666666,True,3.553369865863152,24.499336541068672,square,400.0,0.8925460537465855,TIMEOUT,inf,TIMEOUT,2.8224443542393267,0.2844300409294892,True,7.836788292126572,5.491174919830799,5.6900884903133715,7.631673228083256e-15,1.0,0.0,0.0,0.10861640995403302,0.850000000999999,0.6007785574024704,0.5318264932835923,0.170625,2.449933654106868,4.797542436566786,0.8925460537465855,5.6900884903133715,0.0,0.0,0.8925460537465855,0.0,0.9075,363.0,False,114,concave,maximum_steps_reached,,31,structural_safety_pin,True,0.096875
11.0,55.359677804010616,True,square_irregular.yaml,0.9930555555555556,True,4.041160733093821,26.18472773077383,square,108.0,0.00791547756970348,CONVERGED,0.0,none,0.018514062306744305,0.004942661693210951,True,8.234124052281874,5.032697982182783,5.368219645388,0.08660463142237469,1.0,0.043333333333333335,0.0,0.42843993150277576,0.8500000009999996,0.8201283748432605,0.6510528283766668,0.37885802469135804,2.380429793706714,5.360304167818296,0.00791547756970348,5.368219645388,0.8581468468526028,0.990860383431431,0.00791547756970348,0.0,0.6759259259259259,73.0,True,103,irregular,hold_window_satisfied,66,31,not_timeout,True,0.36728395061728397
10.0,56.440020037112234,True,square_concave.yaml,0.8513888888888889,True,3.6556787387509546,23.265070693524,square,400.0,0.07984136016056034,TIMEOUT,inf,TIMEOUT,0.17640036021701389,0.048051856365473204,True,7.615069712514533,5.644002003711224,5.836952628914501,7.555115082970721e-15,1.0,0.0,0.0,0.11718008283658421,0.8500000009999987,0.753185271262444,0.36449298894956583,0.10479166666666667,2.3265070693524024,5.757111268753941,0.07984136016056034,5.836952628914501,0.0,0.0,0.07984136016055991,0.0,0.87,348.0,False,115,concave,maximum_steps_reached,63,32,near_miss_safety_pin,True,0.10479166666666667
11.0,55.172880765893005,True,square_irregular.yaml,0.9958333333333333,True,3.76465263833441,26.510427114346207,square,102.0,0.00517151025808614,CONVERGED,0.0,none,0.011694564596564974,0.0033256850856127726,True,7.674570766749615,5.015716433263001,5.334043473957142,0.1335226827458644,1.0,0.07166666666666667,0.0,0.45069956886195595,0.8500000010000003,1.5794334398015955,0.8741417305897266,0.39705882352941174,2.41003882857693,5.328871963699056,0.00517151025808614,5.334043473957142,1.062604282113171,0.995156745175313,0.00517151025808614,0.0,0.6372549019607843,65.0,True,105,irregular,hold_window_satisfied,62,31,not_timeout,True,0.3937908496732026
